Group,N,W_statistic,p_value,Normal_alpha_0.05
Normal,1671,0.853267,7.879570e-37,No
Basal,585,0.970501,1.836882e-09,No
Her2,246,0.949346,1.505190e-07,No
LumA,1704,0.97556,1.896891e-16,No
LumB,627,0.973117,2.562684e-09,No
