Group,N,Mean,SD,Median,Min,Max,Q1,Q3
Normal,1671,1.8747,1.5869,1.4843,0.0006,7.9537,0.6999,2.3254
Basal,585,4.3727,1.4284,4.4132,0.0108,10.0336,3.6727,5.1478
Her2,246,6.5239,2.0511,5.9183,0.3669,10.8068,4.991,8.0824
LumA,1704,6.2075,1.292,6.0721,0.1483,10.2726,5.4006,6.8775
LumB,627,5.8011,1.5254,5.7171,0.1746,10.5757,5.0214,6.5253
